wknr	wkname	state	eligibles	eligibles_last	firstvote	firstvote_last	secondvote	secondvote_last	firstvote_valid	firstvote_valid_last	secondvote_valid	secondvote_valid_last	cdu1	cdu1_last	cdu2	cdu2_last	spd1	spd1_last	spd2	spd2_last	lin1	lin1_last	lin2	lin2_last	gru1	gru1_last	gru2	gru2_last	csu1	csu1_last	csu2	csu2_last	fdp1	fdp1_last	fdp2	fdp2_last	afd1	afd1_last	afd2	afd2_last
98	Rhein-Sieg-Kreis II	Nordrhein-Westfalen	216020	213791	174514	164635	174514	164635	172898	162445	173161	162910	80441	85058	61425	73860	39246	44098	34584	39571	9543	5445	11116	7433	13643	11732	15192	14122					14491	5058	30142	13468	14592	5058	15225	7362
99	Oberbergischer Kreis	Nordrhein-Westfalen	208418	209414	156591	150899	156591	150899	154631	148916	155033	148946	67603	77800	56556	67437	41306	44773	35078	40185	7999	6373	9902	8055	9488	7675	9993	10347					12122	3226	21352	8446	15648	4455	16409	7487
100	Rheinisch-Bergischer Kreis	Nordrhein-Westfalen	217422	216414	174882	169131	174882	169131	172648	167604	172947	167720	69134	98017	61539	73278	42223	41894	36303	43721	8428	6884	11082	8473	11879	11472	15642	15113					27067	2937	28844	11676	12502	4713	13814	7945
101	Leverkusen – Köln IV	Nordrhein-Westfalen	212208	214098	155139	150030	155139	150030	153506	147944	153667	148440	47272	58201	43176	52884	59364	61172	41662	48511	9424	8554	14303	10615	8718	10589	13445	14283					10136	3447	18673	7212	13399		14984	5807
102	Wuppertal I	Nordrhein-Westfalen	208129	213132	149998	145925	149998	145925	147997	143405	148559	143938	43803	52427	39328	47470	46656	58407	38695	46638	13120	10992	16100	12499	10988	10198	12754	14318					12908	4314	18436	8198	16343		16434	5989
103	Solingen – Remscheid – Wuppertal II	Nordrhein-Westfalen	222845	226117	164028	160929	164028	160929	161761	158572	162468	159021	61871	70269	51318	62029	49863	52931	40742	48123	10104	9222	12689	10740	9403	11334	11726	12676					12548	4170	22947	9650	15303	5784	16221	6853
104	Mettmann I	Nordrhein-Westfalen	205238	205564	160318	154473	160318	154473	158550	152673	159165	152883	70762	75628	54128	65696	40820	52832	36598	43173	8647	5697	10216	7808	11013	7735	11795	11699					13202	2964	25756	9660	14106	4683	15053	7764
105	Mettmann II	Nordrhein-Westfalen	163228	165493	125515	123036	125515	123036	123985	121379	124443	121654	48689	55307	40603	50254	37468	45091	30483	37580	6825	5166	8458	6646	7567	5987	8599	8408					10795	2920	19691	7421	11143	3911	11926	5730
106	Düsseldorf I	Nordrhein-Westfalen	220762	218889	172947	165028	172947	165028	171387	163393	171910	163675	69273	78206	55052	65978	41903	47731	33493	43269	12611	8657	14675	10505	14408	13427	17148	15445					21944	5825	33940	14985	10912	5021	12029	6891
107	Düsseldorf II	Nordrhein-Westfalen	193175	196250	143599	139390	143599	139390	141828	137407	142546	138042	47950	55990	40606	51050	38727	48065	33218	41737	18499	12538	14111	10705	11778	10315	14379	13399					13049	3980	21277	7979	11530		12968	5845
108	Neuss I	Nordrhein-Westfalen	214779	214614	160049	154444	160049	154444	158292	152566	158773	152809	69658	78712	56967	69480	45314	46619	37447	42604	8535	5983	9894	7606	8131	7226	9582	9363					11466	3507	23585	9418	13680	4155	14893	6276
109	Mönchengladbach	Nordrhein-Westfalen	190552	192676	132023	127559	132023	127559	130443	125606	130836	125942	57766	63843	46786	55030	31766	36665	30547	35447	8921	7827	9627	8080	7814	7638	8169	7792					10225	2847	17946	7414	11910	4259	12373	5255
110	Krefeld I – Neuss II	Nordrhein-Westfalen	201450	202204	155430	150999	155430	150999	153674	149141	154179	149420	65223	73201	54909	66802	39146	46148	34053	40968	7816	6165	9805	7768	10140	8693	10870	10303					17674	5447	26859	10901	11197	3633	12104	5753
111	Viersen	Nordrhein-Westfalen	227423	227631	173285	167490	173285	167490	171592	165604	172016	165797	82165	87764	65474	76747	42933	47198	38368	44103	8747	7998	10343	8897	11477	8880	11590	11106					14234	3857	27577	10493	12036	4182	12841	6806
112	Kleve	Nordrhein-Westfalen	226096	225823	169043	161873	169043	161873	167377	159490	167653	160160	75376	81216	69692	77833	51197	52778	39317	43253	7095		9366	7322	8229	9220	10098	9856					12690	5003	22688	9094	11016	5316	11621	6300
113	Wesel I	Nordrhein-Westfalen	207178	207485	160350	153981	160350	153981	158677	152245	159095	152469	61848	66172	53622	59970	52083	59709	45626	53249	9462	7527	10638	9091	8762	7489	9742	9780					12644	2781	19709	7224	13614	4510	14325	5678
114	Krefeld II – Wesel II	Nordrhein-Westfalen	179117	182593	133606	131185	133606	131185	131988	129237	132412	129696	48601	51835	40911	47806	42316	53578	36778	44856	7428	6994	10089	8546	8028	6888	9289	9485					10807	3245	17916	7237	11289		12172	5085
115	Duisburg I	Nordrhein-Westfalen	167998	171223	121638	121815	121638	121815	118770	119654	119621	120315	34053	38477	30746	36109	45455	55779	37926	47165	8146	8802	10368	9475	6649	6107	7845	8341					8290	1955	12491	4044	13648		13549	6211
116	Duisburg II	Nordrhein-Westfalen	160204	166103	103815	105682	103815	105682	100434	103619	101888	104132	26585	30654	22852	27665	34983	44759	34844	44727	8907	8920	8558	9160	4654	5371	4519	5376					6993	1680	8313	2891	16550	4299	15719	5349
117	Oberhausen – Wesel III	Nordrhein-Westfalen	204816	208991	150316	147679	150316	147679	148121	145210	148852	145767	43077	46889	39141	43882	56987	65442	49228	60222	11331	10627	12343	11732	8349	11396	8294	9604					9357	2415	14800	4802	18197		18559	6145
118	Mülheim – Essen I	Nordrhein-Westfalen	187746	191475	142872	140961	142872	140961	141064	139165	141660	139478	44219	49487	39857	47247	49222	58741	41731	53275	9210	7664	10546	8968	8690	8824	9465	9837					12733	3412	18338	6388	16221	5383	16200	6404
119	Essen II	Nordrhein-Westfalen	163326	167962	110369	108599	110369	108599	108754	106985	109215	107280	28912	33243	25606	30540	40601	51677	34727	44684	8555	7752	9524	8716	5846	5382	6746	7616					7207	1721	10583	3627	17153		16339	4556
120	Essen III	Nordrhein-Westfalen	192918	195692	153336	151040	153336	151040	152104	149489	152409	149772	56393	59101	45826	54310	46829	59008	37699	49626	9846	7341	12574	9855	12511	11576	14312	14550					12639	3007	23068	8581	12306	4015	12735	5812
121	Recklinghausen I	Nordrhein-Westfalen	169267	172167	123956	122346	123956	122346	122239	120545	122884	120927	37792	41383	35108	40898	47255	54504	38822	48070	8043	7410	8970	8244	6079	6178	7132	7716					8791	2426	12673	4100	13953	3921	14776	5464
122	Recklinghausen II	Nordrhein-Westfalen	189375	191504	140799	137426	140799	137426	136150	135205	139515	135724	46996	49404	41084	47082	56011	61748	44226	54378	11502	7529	9225	8501	6362	6733	7136	7860					13901	2122	14783	4813			17386	5494
123	Gelsenkirchen	Nordrhein-Westfalen	175210	181476	119414	118452	119414	118452	117423	116844	118066	116948	29767	33460	26451	32380	45007	58967	39524	51514	7613	7112	8702	8880	5444	4270	5489	6413					7874	1933	10834	3468	19836	4405	20113	5553
124	Steinfurt I – Borken I	Nordrhein-Westfalen	202202	201091	154606	147449	154606	147449	153171	145847	153570	146206	78487	75853	67423	72802	39581	46459	35463	41073	7554	5484	8432	6420	8122	7458	9142	8936					10158	4075	19339	7434	9269	3272	9718	4126
125	Bottrop – Recklinghausen III	Nordrhein-Westfalen	202793	206061	151873	148181	151873	148181	149870	146171	150528	146488	50310	53354	44974	51021	55107	66913	47013	58800	9499	7827	10291	9153	6524	5277	7246	7998					9703	2372	15740	5095	17783	5530	18719	6034
126	Borken II	Nordrhein-Westfalen	199978	198648	158157	151387	158157	151387	155764	149986	157053	150269	81491	86028	73881	80352	39412	40643	33698	38391	6968	4513	6539	5447	10496	9548	9220	9138					14217	3389	20610	7915		2849	9401	4042
127	Coesfeld – Steinfurt II	Nordrhein-Westfalen	192946	190611	156811	149678	156811	149678	154381	148381	155826	148485	79677	83175	68636	74391	36250	39724	32787	38075	9578	4929	8394	6167	12680	10346	11667	12083					16196	3826	21106	8328		3036	9506	4216
128	Steinfurt III	Nordrhein-Westfalen	195571	193909	152541	146050	152541	146050	151173	144714	151387	144754	67675	69385	57214	62729	45796	52786	41813	48324	8520	5533	9692	6765	9857	8464	11026	10981					8533	2603	17204	6822	9530	2566	10341	4028
129	Münster	Nordrhein-Westfalen	232294	227762	191135	180093	191135	180093	189856	178566	190122	178802	70605	69352	62275	67626	54778	63296	39714	48579	13024	7620	19285	11254	24248	19767	27738	27118					13219	10222	25683	12119	8570	3651	9392	5236
130	Warendorf	Nordrhein-Westfalen	209604	210355	163574	158085	163574	158085	161584	156401	162139	156533	75014	80272	65356	73764	45095	50056	38990	45609	7738	5488	8997	6858	8968	9300	10815	11305					11291	3533	21174	8486	11078	3455	12024	4571
131	Gütersloh I	Nordrhein-Westfalen	234272	233596	176762	168983	176762	168983	174636	166903	175031	167143	81300	83869	67178	77361	48946	56031	40106	47962	7583	7133	10594	8332	9993	9069	13817	13148					11401	3146	22848	8236	13998	4178	15082	5286
132	Bielefeld – Gütersloh II	Nordrhein-Westfalen	246216	247179	186137	179625	186137	179625	184061	177149	184603	177548	56481	66021	50989	62698	61086	67464	46883	57931	16488	12153	20484	14869	17728	19026	20656	20711					13491	3523	21314	7055	14988	4398	16478	6076
133	Herford – Minden-Lübbecke II	Nordrhein-Westfalen	228976	230975	168662	163815	168662	163815	166575	161333	167031	161960	59532	65873	52998	63755	61237	66637	47933	56554	9353	8706	11592	9409	8439	8209	11485	12297					9405	5651	19181	6798	16633		18097	5832
134	Minden-Lübbecke I	Nordrhein-Westfalen	204203	206505	151180	145637	151180	145637	149517	143524	149668	144026	53054	66385	49159	59134	55863	58186	43967	49536	7861	5943	9432	7114	7371	5923	9625	10527					10575	2738	16865	6640	14793		15825	5170
135	Lippe I	Nordrhein-Westfalen	170501	172330	128938	125708	128938	125708	127277	123911	127537	124194	46526	49783	40214	48776	40908	50934	35509	43583	6870	5186	8399	6369	7671	7070	8869	9123					10690	2873	15916	5698	13005	3154	14147	4758
136	Höxter – Lippe II	Nordrhein-Westfalen	211026	213488	159796	155994	159796	155994	157768	153734	158102	153998	69875	76882	58907	70520	42190	48159	39022	45707	8722	6328	10186	7894	9387	8757	10182	10266					10805	2956	19529	7423	14439	4004	15192	5545
137	Paderborn – Gütersloh III	Nordrhein-Westfalen	249359	247138	187507	176149	187507	176149	185598	174046	185897	174148	99006	102867	75626	89394	36983	40429	35056	40630	9554	6969	12292	9065	11115	11254	13612	12445					10228	3296	24976	8774	16891	3521	18483	6296
138	Hagen – Ennepe-Ruhr-Kreis I	Nordrhein-Westfalen	207384	212903	150030	147183	150030	147183	148301	144588	148785	145446	44948	49329	42970	51328	58206	68044	43548	53380	8045	8181	10743	9820	5752	6521	8671	9806					11727	4978	18722	6604	16722		17622	6374
139	Ennepe-Ruhr-Kreis II	Nordrhein-Westfalen	178506	181174	137632	134749	137632	134749	134376	132852	136424	133149	44274	47530	37284	44028	49332	56197	40767	50946	10835	6743	11092	8498	11538	10964	11142	12071					14144	2666	17270	5977		3993	13190	5178
140	Bochum I	Nordrhein-Westfalen	206460	210904	156963	154030	156963	154030	155021	151165	155734	152182	43772	53861	39580	46448	57661	66851	46263	58766	15462	10331	15952	12022	11937	10323	13862	14667					10924	2069	17463	5862	14774		15189	5820
141	Herne – Bochum II	Nordrhein-Westfalen	179247	184009	128033	126927	128033	126927	125813	124530	126558	125133	30424	37807	29678	35149	52628	60610	43320	54876	10070	9500	10861	10162	7001	7194	7426	8275					8461	1894	11571	3528	16821		16994	4949
142	Dortmund I	Nordrhein-Westfalen	211316	213946	156097	149031	156097	149031	154526	147469	154923	147485	44228	45310	37967	42712	59990	67019	46424	56180	11874	8835	15506	11653	11281	11042	14702	15827					9063	2882	17193	6107	14644	5188	15197	6060
143	Dortmund II	Nordrhein-Westfalen	203300	206701	143834	137503	143834	137503	141889	135653	142416	136002	39933	43688	34822	39604	55038	63388	46513	55683	12242	9340	12924	10568	9047	9228	10190	11328					9031	2014	15403	5139	15074		15510	5571
144	Unna I	Nordrhein-Westfalen	197873	200068	150832	148119	150832	148119	149385	146276	149581	146615	47452	52433	40696	46794	58020	68287	50206	60019	8048	7749	10312	9127	9600	8242	10254	11567					9635	2514	17196	5850	13558		14690	5525
145	Hamm – Unna II	Nordrhein-Westfalen	235213	238091	171552	167338	171552	167338	169560	164912	169703	165392	59698	64871	51483	60984	61715	71174	53465	63646	9941	9277	11815	10399	7426	8250	8937	9990					9958	3439	17660	6153	17714		19067	5523
146	Soest	Nordrhein-Westfalen	232300	232311	174361	167911	174361	167911	172489	165476	173076	166146	73595	82394	62763	74380	50458	55127	43187	50439	9756	8267	11702	8721	9459	9868	10723	11565					13680	3870	23296	8218	15311		16165	5711
147	Hochsauerlandkreis	Nordrhein-Westfalen	202768	205948	154025	151727	154025	151727	152612	149604	152814	150046	73185	83952	63651	74530	41047	44682	34865	42054	6452	6159	8183	7055	6476	6308	7198	7161					12893	2878	21919	7625	11115		12216	5140
148	Siegen-Wittgenstein	Nordrhein-Westfalen	212818	215751	162349	156569	162349	156569	160698	154757	160964	154896	64484	70833	54646	64307	48559	56510	42556	49563	9554	6891	12623	8920	6885	7808	8858	9937					11741	3383	19128	7327	15729	4744	17160	7653
149	Olpe – Märkischer Kreis I	Nordrhein-Westfalen	206716	210836	152580	150469	152580	150469	150760	148837	151288	148915	72158	76911	61394	71437	39698	48711	35268	42002	7197	5635	8205	7113	5171	5132	6866	7726					13230	3586	20759	7694	13306	3931	13847	6151
150	Märkischer Kreis II	Nordrhein-Westfalen	200562	206189	145496	145197	145496	145197	142092	143502	144207	143560	53715	59768	49065	59536	54888	59821	37189	46318	11113	6926	9425	8463	5357	4498	7056	7971					15221	2792	19327	6431		4709	16682	7122
151	Nordsachsen	Sachsen	163765	168695	118176	112071	118176	112071	116438	109461	116556	110163	38207	49906	34320	49473	16259	22316	14522	16970	20020	23843	17165	22696	3071	3399	3025	3144					7642	2276	9190	2912	31239		31302	6762
152	Leipzig I	Sachsen	220654	210456	161423	138427	161423	138427	159777	136399	159937	136794	43915	54566	37625	50481	26332	29511	20677	25286	31132	31923	31137	29122	8734	7683	11300	9466					9073	2307	13563	4028	32702		33289	8394
153	Leipzig II	Sachsen	227718	219865	175206	153935	175206	153935	173641	151860	173798	152187	42778	52077	38124	49553	23786	35515	22741	28778	43948	37750	39090	34302	17272	13732	18136	17075					10053	2237	14845	4583	25970		27769	7702
154	Leipzig-Land	Sachsen	215522	220400	161340	151537	161340	151537	159006	148740	159392	149205	54152	76273	47943	68348	18221	23542	18139	22681	24801	31865	23368	29716	6219	4905	5157	4899					10048	2890	12859	4292	45565		42824	9562
155	Meißen	Sachsen	201205	207261	152987	145679	152987	145679	150943	142973	150919	143189	55328	76666	39406	64622	13483	18090	13146	18024	19125	25279	20112	26735	5050	4817	5531	5721					7992	3461	13156	5253	46770		49618	10195
156	Bautzen I	Sachsen	214033	223726	161319	155255	161319	155255	158867	152003	158833	152013	48575	74794	42992	69335	15835	17268	14377	18502	24222	32452	22596	30290	3246	3709	3768	4249					9247	3948	12113	4723	52767		52040	10811
157	Görlitz	Sachsen	212796	223614	156087	152944	156087	152944	153631	149683	153713	149961	48251	74204	40999	66106	16800	22741	14247	18839	20851	29550	21534	29380	4994	5045	4475	5044					7661	2442	10810	4185	49832		50553	12331
158	Sächsische Schweiz-Osterzgebirge	Sachsen	202524	207752	156341	147427	156341	147427	153894	144771	154371	144975	44353	72644	39576	66673	11098	15442	12037	15865	22615	27571	19711	24848	4573	4244	4643	5158					9932	2628	12794	4655	57553		54746	11417
159	Dresden I	Sachsen	232636	233382	182847	173167	182847	173167	180609	170365	181068	171136	44336	72537	44049	68192	23863	25321	19238	26440	38001	42599	31062	32505	11758	10429	13920	13517					13590	3305	18601	5243	40369		41796	11814
160	Dresden II – Bautzen II	Sachsen	235455	235691	186818	173489	186818	173489	184668	170398	185136	171193	47183	71227	42791	66092	20589	25150	17973	23943	32395	32588	32035	31059	15832	16650	16587	16304					12842	3471	17683	5405	41197		43119	11930
161	Mittelsachsen	Sachsen	201560	210677	150647	145578	150647	145578	148667	142986	148887	143374	48227	74209	41190	64971	17785	22079	14494	19070	20783	29079	21579	29525	4624	4583	4110	4703					8651	3203	11598	4933	46825		46521	8997
162	Chemnitz	Sachsen	195929	201249	147233	135876	147233	135876	145567	134175	145888	134528	38652	55909	36269	52380	22413	28101	17374	23558	28229	31992	28017	31014	6157	6475	6818	7168					9536	2724	12164	3865	34954		35456	8138
163	Chemnitzer Umland – Erzgebirgskreis II	Sachsen	183307	191550	138884	134560	138884	134560	136665	131445	137168	132435	48010	65157	41944	59939	14141	20517	14521	19178	23175	28783	20973	26434	4609	4874	3851	4282					10343	3006	10541	3594	36387		36741	9636
164	Erzgebirgskreis I	Sachsen	220896	232499	166736	161718	166736	161718	163547	157918	163962	158750	56719	79318	50761	73098	14714	19143	15421	20114	24800	32472	23117	30741	4334	5051	3661	3964					11819	10246	12104	5828	49461		47948	12119
165	Zwickau	Sachsen	207606	217679	150946	148305	150946	148305	143384	145582	148817	146054	48353	64857	45106	64872	18219	23033	16131	21686	36881	35847	24665	31061	6511	4334	4328	4653					19180	3996	11252	3924			38955	8878
166	Vogtlandkreis	Sachsen	193063	201934	142789	138790	142789	138790	140326	136134	140831	136695	49094	65743	42593	60466	15529	28172	16038	21885	21813	26707	22570	27617	5290	3540	4262	4569					7832	3533	10138	3836	36425		37218	9095
167	Waldeck	Hessen	186825	189728	142857	138632	142857	138632	140638	133701	140730	134416	47269	55444	42231	49063	49341	55217	43446	48420	8600	7253	9891	7356	8062	8486	9659	10872					9930	3579	13918	6452	15438		16410	6774
168	Kassel	Hessen	222451	224555	167847	160695	167847	160695	165268	155463	165395	156479	44420	54674	41733	48361	58752	62178	46763	53232	14472	13066	18677	13680	15470	16559	18938	19884					9759	3192	15046	6259	16500		17286	7977
169	Werra-Meißner – Hersfeld-Rotenburg	Hessen	175992	180203	133740	131446	133740	131446	131227	126814	131063	127253	39300	51386	38529	45872	54030	54630	42734	46913	7281	7277	8746	7584	5236	6333	7843	8868					6597	2513	11096	5014	16408		17173	7096
170	Schwalm-Eder	Hessen	188074	191354	145743	141665	145743	141665	143088	136829	143054	136981	43516	54162	41796	48747	53891	57944	44845	50052	7855	6890	9270	7442	8001	7884	9437	10498					9298	3005	13118	6362	17197		18504	7394
171	Marburg	Hessen	183296	184686	142371	130945	142371	130945	140567	128002	140784	127909	46927	50683	42377	46993	50214	55982	37200	42749	11521	6746	14420	8720	8989	7595	13088	13443					6044	2229	12190	5111	14376		16127	5858
172	Lahn-Dill	Hessen	208740	210867	155058	146943	155058	146943	152543	142835	152795	143103	58418	68666	51125	59760	45371	49213	37791	43406	7116	6603	10210	7433	8909	8647	10768	10600					9590	3033	14818	6323	17872		20930	8315
173	Gießen	Hessen	217806	215246	166633	156652	166633	156652	164154	152302	164311	152723	57610	67587	49518	59062	46215	54028	39251	45299	10346	7802	13798	9928	13618	11186	15897	14759					12641	4543	16926	7553	18918		20357	7444
174	Fulda	Hessen	209966	209960	161937	154025	161937	154025	159253	149596	158626	150230	71927	87263	61790	76778	32141	37352	28734	33218	7668	6869	9265	6900	8869	8125	10589	10058					8435	3605	17118	7313	27979		25134	8711
175	Main-Kinzig – Wetterau II – Schotten	Hessen	179307	180491	138191	131010	138191	131010	135862	126773	136022	127014	49475	61911	43147	52305	38461	41061	32068	35313	8007	6739	8938	6934	7346	6815	9614	9720					8326	2963	14148	6516	20171		20921	8098
176	Hochtaunus	Hessen	181516	182026	146314	139886	146314	139886	144259	136975	144609	136883	57579	66785	48436	58822	33201	38435	28947	33846	8556	5482	9562	6358	12884	10064	14074	12690					14953	4866	21713	10334	15075	7748	16132	9447
177	Wetterau I	Hessen	176435	175085	138853	131480	138853	131480	136921	127770	137220	128149	49891	60118	43951	52419	39773	40805	31152	34937	6719	6174	9249	6615	11368	9497	13002	11991					11047	3527	17462	7586	14987		15895	7608
178	Rheingau-Taunus – Limburg	Hessen	220341	220668	173638	165788	173638	165788	171338	162032	171621	161924	71558	84489	59347	73599	43435	47152	35534	40718	9394	6300	11141	7290	12009	9119	15273	13955					13053	3726	22681	10139	17439	6913	20364	9469
179	Wiesbaden	Hessen	189372	189698	139772	132335	139772	132335	137964	129630	138226	129683	47309	56466	40020	50187	39393	45311	29250	36041	10557	6097	13160	7668	12323	9784	16286	15133					9693	3296	18396	8801	14418	5176	15496	6550
180	Hanau	Hessen	177469	177413	134207	128280	134207	128280	132059	124101	132320	124494	46656	54920	39125	48828	40185	45184	31150	35650	7716	7069	10007	7630	8054	7217	11344	11183					8417	3053	15185	6611	16909		18625	7356
181	Main-Taunus	Hessen	197291	196605	160646	155145	160646	155145	158526	151067	158860	151919	66490	79353	54905	66598	34529	40927	28789	34156	7886	6355	9503	6406	14458	12453	16752	15057					17224	6472	26570	13100	15319		16395	10470
182	Frankfurt am Main I	Hessen	199775	195615	144659	133575	144659	133575	142872	130519	143049	130888	43681	52427	37235	43883	38636	43124	29686	35106	13858	10280	17115	11684	15596	12875	19423	17398					13161	4125	20003	9209	12879		13329	6983
183	Frankfurt am Main II	Hessen	223942	219357	172391	159914	172391	159914	170567	156977	170775	157013	55223	57004	45741	53198	44240	47854	33520	41360	15523	9547	20054	12778	23021	21184	26401	24165					13877	5434	24336	10979	13032	5155	13737	7669
184	Groß-Gerau	Hessen	174727	174002	133312	127383	133312	127383	130857	123304	131180	123689	45963	52087	39950	45389	42342	46942	33319	37781	8729	7645	10755	7693	8877	9502	11862	13129					7358	2489	12645	5762	14805		15943	6939
185	Offenbach	Hessen	220194	221650	163610	158240	163610	158240	160986	153603	161293	154250	58566	69930	49303	59905	40107	47984	34519	40203	12435	9479	14261	10205	14246	12548	16423	16503					12420	4376	20372	9836	18048		19051	8994
186	Darmstadt	Hessen	242622	240017	192674	180790	192674	180790	189934	176597	190532	176700	58276	63397	52278	61677	56483	65820	42675	50416	16149	9111	19540	11866	26949	20704	27312	25149					11750	4306	20901	8945	17264	6789	18685	9169
187	Odenwald	Hessen	234421	234360	184979	177273	184979	177273	181837	171250	182234	171832	65653	80323	59634	70211	52764	57586	42521	48252	11138	8621	13434	9459	14183	11854	16085	15560					13139	4581	19949	8964	21348		22259	9864
188	Bergstraße	Hessen	198679	199685	156079	148381	156079	148381	153736	145129	154080	144559	59779	70131	51088	61337	41408	46099	34433	39838	8512	5730	10186	7025	11747	8222	13587	12520					11712	2795	18195	7975	19152	6129	19931	8134
189	Eichsfeld – Nordhausen – Kyffhäuserkreis	Thüringen	216673	225206	158339	152177	158339	152177	156075	149755	155929	149920	59318	71768	52667	65251	22320	24486	21652	22951	23848	33407	22613	32463	3992	4512	4778	5571					7633	2066	11981	4068	33402		32854	7562
190	Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis	Thüringen	222558	231502	163181	155409	163181	155409	160838	152680	160880	153033	55379	66311	48344	61390	24474	28484	23204	26096	24900	35851	25171	34454	5065	4892	5593	6214					8078	2445	11545	3843	34051		35821	7824
191	Jena – Sömmerda – Weimarer Land I	Thüringen	202063	208560	155237	146403	155237	146403	152904	143940	153336	144136	44685	55474	42090	51871	21667	28530	19144	23693	32683	36084	28312	33273	7545	7625	9498	10495					8941	2865	13307	4557	29451	2566	30421	8297
192	Gotha – Ilm-Kreis	Thüringen	198344	205859	148065	141461	148065	141461	145600	139073	145876	139092	42225	51861	40578	53196	27123	34726	20390	23815	22672	28015	22917	30758	4809	4117	5411	6414					8775	1879	11218	3280	34800	8063	35093	10309
193	Erfurt – Weimar – Weimarer Land II	Thüringen	221922	224121	168266	156367	168266	156367	165924	153678	166151	154106	45305	56992	42167	53123	30258	36694	23535	27159	30947	35917	32238	35421	11722	9151	12666	13125					9975	1781	14250	4015	28959		30166	9328
194	Gera – Greiz – Altenburger Land	Thüringen	240683	253082	176921	171075	176921	171075	174118	167900	174394	168082	52979	71720	47690	67024	20627	23785	19845	23934	32573	44078	30402	42142	3652	4683	4710	5944					9712	2378	14315	4312	47558	10457	47274	12735
195	Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis	Thüringen	229126	239724	171882	165581	171882	165581	169343	162151	169716	162802	52311	66864	47766	62222	19752	30353	20429	24759	28928	41324	28088	39629	5725	6222	5124	6610					10322	3562	13188	4156	44894	2895	43739	11730
196	Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg	Thüringen	234445	246205	170165	162930	170165	162930	167781	160207	168007	160522	56291	67093	50914	63206	22560	29444	22812	26307	30616	44145	28442	40475	4411	4724	5558	6138					8153	2306	11310	3870	38335		38677	8228
197	Neuwied	Rheinland-Pfalz	239317	240333	181633	173536	181633	173536	178226	170289	179082	171156	76951	79785	68388	78005	50999	63453	45438	48866	9520	7655	11338	8965	9449	6779	10738	10661					10900	3906	18072	8023	16954		19273	8759
198	Ahrweiler	Rheinland-Pfalz	195622	195077	151580	142594	151580	142594	149593	139491	149988	140660	64007	77379	60937	68680	40943	39071	34113	34660	6790	6221	8520	6569	8614	7813	10059	9287					12980	3313	17396	7897	13107		14436	7328
199	Koblenz	Rheinland-Pfalz	197045	198113	151141	142888	151141	142888	149009	139695	149622	140863	61595	67046	56616	63427	42780	43094	35682	38221	7691	6901	10331	7358	9272	11184	11856	10853					9729	3772	16152	7595	12154		13697	6625
200	Mosel/Rhein-Hunsrück	Rheinland-Pfalz	172776	175441	135513	129262	135513	129262	132831	126151	133703	126952	58594	67658	55604	62703	33476	35146	30800	31202	7014	5647	8117	6139	6465	5083	7487	7257					11550	3990	14924	7948	10860		12022	5323
201	Kreuznach	Rheinland-Pfalz	185172	187473	139890	132299	139890	132299	137783	128890	138198	129804	50964	53324	47177	53335	43373	48521	37911	40708	7610	6688	9496	7485	6750	5733	8626	8221					9341	3767	13651	7236	14914		16195	6180
202	Bitburg	Rheinland-Pfalz	164685	166313	126881	119298	126881	119298	124382	116592	125050	117267	63719	65252	55591	61192	32017	30613	27255	26189	6787	3867	7433	5134		5775	7710	7165					8703	3807	12888	7136	8844		10058	4264
203	Trier	Rheinland-Pfalz	192846	193803	151567	141134	151567	141134	149338	137813	149881	138524	56610	67281	55882	60909	50284	42879	36950	36410	9842	7687	12934	8688	9645	9555	13512	13157					7910	2656	13841	6841	10414		11926	5736
204	Montabaur	Rheinland-Pfalz	210117	211010	163564	155100	163564	155100	158697	151773	161759	152831	68741	74887	60594	69119	47311	47097	39908	42500	11086	7217	9576	7724	8225	9014	10058	9646					14542	3714	17704	7994			17822	7831
205	Mainz	Rheinland-Pfalz	248996	245612	202546	188171	202546	188171	200324	184740	200879	185758	71477	74083	65713	71290	56141	64340	44203	49232	12926	8005	17148	10266	21692	18825	26415	24728					13894	9188	22608	12166	14554		16535	8399
206	Worms	Rheinland-Pfalz	213650	212636	169783	156833	169783	156833	167172	153728	167663	154153	68684	64539	54720	60722	44568	56777	42472	46052	8538	5713	10811	7784	11280	8625	13449	12878					10056	4097	17542	9179	18901	6316	21978	8604
207	Ludwigshafen/Frankenthal	Rheinland-Pfalz	215749	217129	161916	155005	161916	155005	159233	151762	159499	152420	51202	65746	49264	59425	50758	54003	39844	45001	8982	7476	10601	8538	8696	7247	11613	11042					11906	3773	16320	7952	23110		24644	9224
208	Neustadt – Speyer	Rheinland-Pfalz	220597	220643	176424	165435	176424	165435	173728	161570	174345	162803	69497	77345	61373	71072	44029	46217	37913	41982	8210	7244	10536	7871	13158	13054	15397	13915					11738	4355	19265	9337	20608		22080	7995
209	Kaiserslautern	Rheinland-Pfalz	229169	232164	172283	163010	172283	163010	169370	158986	169755	159868	53020	59086	49412	57376	57478	61253	47986	52242	12277	11813	13547	12107	8610	8446	11351	11430					9257	3584	15509	7315	21383		23207	7101
