wknr	wkname	state	eligibles	eligibles_last	firstvote	firstvote_last	secondvote	secondvote_last	firstvote_valid	firstvote_valid_last	secondvote_valid	secondvote_valid_last	cdu1	cdu1_last	cdu2	cdu2_last	spd1	spd1_last	spd2	spd2_last	lin1	lin1_last	lin2	lin2_last	gru1	gru1_last	gru2	gru2_last	csu1	csu1_last	csu2	csu2_last	fdp1	fdp1_last	fdp2	fdp2_last	afd1	afd1_last	afd2	afd2_last
23	Hamburg-Bergedorf – Harburg	Hamburg	222034	221887	155709	142704	155709	142704	153706	140615	154154	140716	43194	50044	42304	47525	53426	56867	40347	49302	16376	10595	17347	11817	11932	9088	15420	12916					8032	2234	13310	4952	16635	5448	17614	6624
24	Aurich – Emden	Niedersachsen	191560	190987	142670	134256	142670	134256	139471	132039	141037	132532	38518	42737	39539	43026	69132	66348	53342	58080	9401	6373	10139	6588	9788	12627	10502	11028					6882	2085	10079	4323			12875	4136
25	Unterems	Niedersachsen	235233	232784	176342	166959	176342	166959	174787	164863	174953	165314	87406	90236	74173	80616	48959	51409	48195	51079	7726	6426	9460	6771	8255	8441	10258	9506					7758	4288	13629	6537	13387		14620	4870
26	Friesland – Wilhelmshaven – Wittmund	Niedersachsen	189344	190034	139150	134162	139150	134162	137338	131793	137585	132402	44531	52275	45087	50796	54512	58178	42224	48011	8126	6736	9739	6814	7542	7362	9985	9731					8072	3024	12958	5670	11389		12492	5479
27	Oldenburg – Ammerland	Niedersachsen	226253	220409	175971	163543	175971	163543	174159	161795	174668	162141	52596	59525	53418	57067	63232	60547	45506	52856	14080	8794	16349	10523	19824	18552	21819	20170					10635	3966	18137	8210	11591	5502	12624	6833
28	Delmenhorst – Wesermarsch – Oldenburg-Land	Niedersachsen	227695	227719	170211	162698	170211	162698	168228	160639	168818	160787	57389	63832	56526	62620	55326	63256	47623	54848	10262	7273	11567	8814	12933	9784	13523	13059					15209	5263	17076	8035	15122	5292	16393	6359
29	Cuxhaven – Stade II	Niedersachsen	187679	187640	141748	137151	141748	137151	140290	135661	140716	135967	59926	63431	54162	59699	43079	49395	38924	45534	8122	4904	9118	6241	8491	8326	9711	9592					6967	1872	11482	4924	11861	4034	12652	4753
30	Stade I – Rotenburg II	Niedersachsen	197298	194958	152485	145131	152485	145131	151294	143970	151639	144184	67191	68545	58989	64472	42682	49111	37246	44598	7960	4878	9523	6021	10580	9099	12461	11209					8758	2505	14480	6023	12560	5632	13479	6531
31	Mittelems	Niedersachsen	230151	228051	179790	170444	179790	170444	178605	168873	178827	169238	95810	99705	88307	94923	47099	48903	41976	44069	6815	4543	8167	5107	8900	8393	10793	9160					10084	2673	16187	7032	8949	3777	9699	4331
32	Cloppenburg – Vechta	Niedersachsen	220042	216300	163671	153769	163671	153769	162118	152353	162519	152564	93546	101015	86302	96401	32997	32422	28870	30168	6618	3821	7145	4259	7048	5702	8208	6488					8357	2812	15298	7073	12638	3238	13146	3576
33	Diepholz – Nienburg I	Niedersachsen	193959	193097	148297	142350	148297	142350	146813	140854	147273	141135	65462	66862	55829	61404	40101	47067	37505	44431	7758	4933	8951	6359	11252	10651	11990	11556					10284	2797	15514	6929	11956	3571	12433	4840
34	Osterholz – Verden	Niedersachsen	196136	193643	153028	144923	153028	144923	151760	143421	151790	143215	59561	63174	53037	57243	48506	53660	40046	47413	10711	7195	11051	8008	10146	9729	14052	13708					8272	1359	13465	5235	12992	4499	14671	5487
35	Rotenburg I – Heidekreis	Niedersachsen	168081	167867	127071	122823	127071	122823	126087	121506	126097	121829	45505	54448	47521	53163	51938	49301	34212	38018	5219	4758	7421	5572	6052	6026	10067	10332					5658	2097	10731	4930	10327		11669	4586
36	Harburg	Niedersachsen	199081	194856	161838	152819	161838	152819	160512	151403	160858	151600	65224	68458	57815	64905	44016	47908	35378	42915	8638	5472	10124	6641	14566	10754	16410	14078					10458	5110	18840	7382	14825	8704	16048	9069
37	Lüchow-Dannenberg – Lüneburg	Niedersachsen	180866	179069	141000	133574	141000	133574	139617	132199	140138	132416	46740	52644	43862	48756	39169	44491	32866	38415	11692	7784	12706	9202	20637	15918	18906	18892					9249	2112	12959	5281	12130	4925	12495	5852
38	Osnabrück-Land	Niedersachsen	199131	197532	151301	144853	151301	144853	150075	143463	150192	143733	68381	76179	60739	68972	42435	46365	38527	42214	7908	5162	9156	5783	11613	8330	12346	11046					9604	2546	14602	6599	9905		10939	4060
39	Stadt Osnabrück	Niedersachsen	196475	194231	151988	142840	151988	142840	149287	140921	151006	141199	60122	64416	53911	60754	47246	49059	37310	43099	12508	5840	12723	7188	15105	12568	18333	15390					13348	3934	14308	5874			9489	3765
40	Nienburg II – Schaumburg	Niedersachsen	194800	195948	146673	141773	146673	141773	145470	140309	145646	140617	59126	58349	49894	56279	47612	62641	43307	51043	6532	4649	8289	6006	11204	8173	11831	11370					6538	1950	12427	4993	13291		14943	5514
41	Stadt Hannover I	Niedersachsen	179883	181122	134842	129867	134842	129867	133409	127979	133867	127999	39487	46650	36401	42910	47547	55711	36688	45441	9579	6435	12440	7993	12102	9876	16293	15718					8734	1889	13659	6043	11364	4051	12227	4654
42	Stadt Hannover II	Niedersachsen	193433	193157	149030	141215	149030	141215	147628	139344	148090	139290	42713	47180	36203	41684	49745	59686	37964	48292	13776	8657	17822	11129	16483	14229	22079	21559					8167	2050	14735	5983	10591	3802	11245	4749
43	Hannover-Land I	Niedersachsen	233242	232941	181649	176671	181649	176671	180084	175013	180357	175141	72275	77509	62825	72286	59548	67440	48776	57922	8958	6220	10889	7931	10725	8735	14335	14308					9325	4504	18868	8725	17216	5393	18364	7038
44	Celle – Uelzen	Niedersachsen	214617	215285	162138	157058	162138	157058	160766	155496	160978	155697	68642	75369	58851	68568	48178	53237	40889	46931	7901	5655	9297	7085	9266	9563	12478	12071					8828	2091	16332	6478	16195	6591	17549	7722
45	Gifhorn – Peine	Niedersachsen	217905	217256	168907	161941	168907	161941	167396	160153	167610	160468	60274	67368	56504	64451	63340	69259	50488	57875	8826	6810	10172	7575	9381	7666	12135	11855					8056	2266	13998	5648	16520		18288	5786
46	Hameln-Pyrmont – Holzminden	Niedersachsen	187377	191980	139756	137839	139756	137839	138445	135764	138650	135896	46172	53726	44418	50937	54119	57484	44180	49411	8219	6308	9127	7201	7509	8202	9994	11428					8034	2496	12531	5985	13142	4971	14052	5550
47	Hannover-Land II	Niedersachsen	240015	240409	188498	182963	188498	182963	186766	180896	187010	181291	65816	75761	58987	69644	69106	78433	55166	65169	10122	7350	12306	8669	10696	9422	16292	16212					10090	2567	17926	7228	17569		19387	6958
48	Hildesheim	Niedersachsen	218349	219571	169614	164796	169614	164796	167860	162345	168295	162997	60456	68653	54871	63041	62448	66986	52077	59319	8502	7909	10906	8120	12691	13771	14805	14587					9330	2489	13902	5589	14433		15695	5601
49	Salzgitter – Wolfenbüttel	Niedersachsen	206133	208990	157042	152599	157042	152599	155464	150391	155710	149981	45310	55720	45989	53593	66584	70080	50476	58881	9291	6524	11265	8461	6680	6630	10211	11013					7264	1582	12451	5142	18558	4548	19117	5938
50	Braunschweig	Niedersachsen	192041	193799	147607	143752	147607	143752	146234	142103	146548	142285	45867	49710	42524	48419	55549	61952	38601	47741	11147	7119	13673	9527	11762	10117	17288	17614					7873	3243	14679	6214	11374	3894	12266	5092
51	Helmstedt – Wolfsburg	Niedersachsen	183963	187425	137303	133269	137303	133269	135832	131342	136010	131775	47416	58760	47037	54188	51646	50826	40740	45837	8128	5731	9050	6440	6096	6666	8064	9004					7791	1839	10988	4796	13857		14862	4892
52	Goslar – Northeim – Osterode	Niedersachsen	202963	208311	150708	149429	150708	149429	149109	146830	149522	147264	59285	61723	48034	55775	51877	62209	47946	55985	8499	6805	9498	7475	8111	7833	9907	10141					7415	2249	13707	6099	13922		15113	5733
53	Göttingen	Niedersachsen	220420	222102	170544	165814	170544	165814	169099	163840	169317	164303	56248	62558	51176	59000	59029	66192	47871	54410	9905	8581	14747	10432	19130	16740	19676	20076					7733	2633	15421	6667	11870		13443	6121
54	Bremen I	Bremen	252461	256547	187668	184512	187668	184512	184722	182384	185913	182696	44908	55198	48322	55254	55079	69161	45425	60502	22627	15186	26422	18502	22147	25342	23557	25448					20398	4171	18970	7168	14469	5336	15716	6263
55	Bremen II – Bremerhaven	Bremen	221636	227276	147712	148510	147712	148510	145392	146427	145826	146716	35927	42067	34754	41205	49639	64276	43398	56702	16836	13335	18303	14782	11184	12325	13082	14566					10024	2189	11925	4036	16586	5428	17604	6044
56	Prignitz – Ostprignitz-Ruppin – Havelland I	Brandenburg	176001	180670	120227	114988	120227	114988	118416	112582	118408	113091	36483	37520	35214	40787	28061	33293	24884	28483	20849	27179	19446	25496	3543	3123	4231	3925					4230	1454	6554	2526	21295		22185	5400
57	Uckermark – Barnim I	Brandenburg	184714	188083	129929	120636	129929	120636	127895	118364	128039	118583	39121	45206	36177	43017	24838	27042	21647	26578	23587	32168	23871	28513	4714	3561	5187	4516					4862	1771	7027	2519	25811		26608	6075
58	Oberhavel – Havelland II	Brandenburg	243106	236545	184987	168983	184987	168983	182244	165529	182563	166300	54454	62537	51965	60586	41394	46164	33831	39392	26834	32085	26089	30178	9684	8241	11680	9558					9510	2473	13909	4965	32758		33982	11225
59	Märkisch-Oderland – Barnim II	Brandenburg	226413	223734	170037	155091	170037	155091	167595	151562	167678	151659	47594	51398	42106	48700	26522	30938	25902	33220	37720	49896	34629	40055	8971	5140	7806	6277					7110	1681	11006	3366	33913		34702	9682
60	Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I	Brandenburg	183181	187129	128058	121487	128058	121487	125789	119098	126138	119323	39988	39112	35556	40620	31548	39596	26052	31368	19037	28275	20925	27318	4293	2888	5237	4488					5763	1849	8195	2707	21312		22631	5778
61	Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II	Brandenburg	247441	238626	195802	177548	195802	177548	193513	174544	193865	175291	48098	56236	48013	54471	50586	56428	35770	43710	31846	35443	35109	36805	15548	12655	19079	15939					14424	3036	17768	5642	23890		26133	10000
62	Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I	Brandenburg	248676	246970	187657	174159	187657	174159	184375	170597	184910	171057	56610	63650	49990	59845	36153	46319	32574	38793	30266	36755	29215	36799	8127	6572	8606	7727					8911	2153	13701	4784	37357		38900	10887
63	Frankfurt (Oder) – Oder-Spree	Brandenburg	194757	199341	140074	135293	140074	135293	137949	132126	137987	132830	37342	44822	33886	44301	23595	32291	22699	29631	26399	37008	26201	32862	4505	5192	5897	5266					7007	2252	9241	2922	30259		30475	8562
64	Cottbus – Spree-Neiße	Brandenburg	178676	187157	132119	125920	132119	125920	129718	123231	130027	123713	36852	44301	31366	44230	22019	29510	19728	26863	20359	24681	21456	27965	4318	3278	4092	4382					7427	2498	9937	2984	32774		34902	8555
65	Elbe-Elster – Oberspreewald-Lausitz II	Brandenburg	168542	177689	123356	118680	123356	118680	120838	116012	121144	116515	35630	47454	33571	46044	20140	26132	18698	23136	19581	27137	18774	25321	3542	2899	3146	3104					6491	2085	8122	2950	29829		30564	6911
66	Altmark	Sachsen-Anhalt	165625	172378	111201	107895	111201	107895	109454	106038	109864	106217	35644	44686	36021	44655	20894	18616	18716	20196	20979	32164	20352	26180	3747	2998	3648	3542					7381	1489	7837	2278	18031		18419	3826
